TYPE,NAME,LONGITUDE,LATITUDE
SplashPad,Montgomery Park,-79.80311979,43.2375529
SplashPad,Roxborough Park,-79.78638902,43.23631781
SplashPad,St. Christopher Park,-79.80859985,43.25406307
SplashPad,Woodward Park,-79.77732756,43.25011019
SplashPad,Father Sean O'Sullivan Memorial Park,-79.77678407,43.2170454
SplashPad,Glendale Park,-79.77902278,43.22385566
SplashPad,Sam Manson Park,-79.77066643,43.23293189
SplashPad,Veevers Park,-79.78375597,43.20934736
SplashPad,Berrisfield Park,-79.84001855,43.21083156
SplashPad,Broughton Park East,-79.84980051,43.18933239
